"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
30.5,0,-0.743576801787098,0,0,0,"flat0",-1.81111910567728,-0.717960333068007,-0.157694841026076,1.12437927538837,-0.970544879280514,-0.122218875210115,-1.2591859446217,-1.42224156535265,-0.500347714662902,"F",0.921798230857615,0.205089427059725
31,0,-0.743576801787098,0,0,0,"flat0",-0.980929303489204,-0.722649319282872,-0.183622994449684,1.13260749048812,-0.945138962032976,-0.121068847175202,-1.2877765571895,-1.68517702579786,-0.560435597459671,"F",0.911113684761803,0.205089427059725
31.5,0,-0.902194379967753,0,0,0,"flat0",-1.02013095446838,-0.726105530009129,-0.164064604218254,1.13076718369066,-0.923618696163221,-0.0819867550942876,-1.28499927707819,-1.71569791141617,-0.640843054216518,"F",0.898536877504244,0.205089427059725
32,0,-1.12321887415391,0,0,0,"flat0",-0.783235023521781,-0.737634398328989,-0.128573767859154,1.11209947507841,-0.88266589825942,-0.0413076385152806,-1.26034268251777,-1.55055028675996,-0.655647315413351,"F",0.885080850042192,0.205089427059725
32.5,0,-1.2610341469994,0,0,0,"flat0",-0.911588816243929,-0.744404576089071,-0.113742547900849,1.09547453556349,-0.848306133398024,-0.0322913247098236,-1.22515168790509,-1.46499920177856,-0.669290458190241,"F",0.869761241061674,0.205089427059725
33,0,-1.2610341469994,0,0,0,"flat0",-0.873335592304569,-0.741371753171694,-0.154041872967238,1.07100248341917,-0.857887925075305,-0.0738910512901599,-1.18079824723736,-1.54178231531148,-0.659711230420175,"F",0.852902976001009,0.205089427059725
33.5,0,-1.2610341469994,0,0,0,"flat0",-1.01855024273535,-0.741580630154918,-0.107978062125839,1.04290043755492,-0.838763948137027,-0.0412333692376651,-1.13693230217297,-1.67734735548925,-0.65361535790994,"F",0.833101204462058,0.205089427059725
34,0,-1.2610341469994,0,0,0,"flat0",-1.00906597233716,-0.749952626112121,-0.047643679766398,1.02390162714396,-0.788904387619455,0.0098821966731659,-1.10859426691009,-1.62664236990722,-0.649841723313629,"F",0.808912841545897,0.205089427059725
34.5,0,-1.2610341469994,0,0,0,"flat0",-0.976503310636716,-0.745245062165731,0.0297261501863967,1.02083583088903,-0.787013488590918,0.0925823593381594,-1.11352560528113,-1.57951590170823,-0.633876343696851,"F",0.782860897111268,0.205089427059725
35,0,-1.2610341469994,0,0,0,"flat0",-0.800728165923628,-0.737553109974278,0.018513427950072,0.988573426423649,-0.808364965072803,0.124183907584879,-1.05160223151617,-1.51546924913949,-0.673354372123029,"F",0.753731655587098,0.205089427059725
35.5,0,-1.2610341469994,0,0,0,"flat0",-0.992942712660243,-0.754736257859648,0.0192490910191043,0.971837907508009,-0.723683623240802,0.0647239768075255,-1.04114824561744,-1.55995754739851,-0.654486196993407,"F",0.726064601141497,0.205089427059725
36,0,-1.2610341469994,0,0,0,"flat0",-0.604719911027737,-0.748073040447994,0.107725470625599,0.950168180587306,-0.707410169404398,0.155000810314767,-0.99829830151862,-1.47547418402651,-0.655647315413351,"F",0.701608649467446,0.205089427059725
